Titre;Créateur;Sujet;Editeur;Type;Format;Identifiant;Source;Langue;Résumé;Date de disponibilité;Date de publication;Importance matérielle;Couverture spatiale;Couverture temporelle;Licence;P35 has identified;P70 documents;P4 has time-span;P14 carried out by;P1 is identified by;P2 has type;;;;;;;;;;;
Visseiche (35). La grande Censerie. dfs de diagnostic;http://www.viaf.org/viaf/22361122 Le Boulanger, Françoise;RAP01826;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01826;Service régional de l'archéologie de Bretagne;French;;;2002;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Locmaria-Plouzané (29). Kerelleau. dfs de diagnostic;http://www.viaf.org/viaf/26709892 Morzadec, Hervé;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP02104;;French;;Disponible;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). La nécropole mégalithique de la pointe du Souc'h. rapport intermédiaire 2002 de fp 3 2001-2003;Le Goffic, Michel;RAP01840;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01840;Service régional de l'archéologie de Bretagne;French;;;2002;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Lanmeur (29). ZAC de coat ar parc. dfs de diagnostic;http://www.viaf.org/viaf/26709892 Morzadec, Hervé;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (56). La villa de Mané-Véchen; étude des peintures de la salle ab. rapport d'étude dans le cadre de la fouille programmée;BOISLEVE Julien;RAP01920;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01920;Service régional de l'archéologie de Bretagne;French;;;2006;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
L'île aux Moutons (Fouesnant; Finistère) : sondages d'évaluation du 2 au 7 septembre 2002;Hamon, Gwenaëlle;RAP01851;Service régional de l'archéologie de Bretagne;Online PDF file;;;Service régional de l'archéologie de Bretagne;French;;;2002;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Corps-Nuds (35). Launay Bien. Un enclos funéraire du premier âge du fer;Hamon, Anne-Louise;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP02137;;French;;Disponible;2004;5.03 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). La nécropole mégalithique de la pointe du Souc'h. rapport intermédiaire 2005 de fp 3 (2004-2006);Le Goffic, Michel;RAP02118;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02118;Service régional de l'archéologie de Bretagne;French;;;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Fouesnant (29). sondage sur l'île Saint-Nicolas. rapport de sondages.;HAMON Gwenaëlle;RAP02228;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02228;Service régional de l'archéologie de Bretagne;French;;;2006;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Un quartier de la ville antique de vorgium. Les fouilles de la réserve arhéologique. rapport final de synthèse de fouille programmée triennale (2000-2002);Le Cloirec, Gaétan;RAP01877;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01877;Service régional de l'archéologie de Bretagne;French;;;2002;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). un quartier de la ville antique de vorgium. rapport final de synthèse de fp 3 2003-2005;Le Cloirec, Gaétan;RAP02172;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02172;Service régional de l'archéologie de Bretagne;French;;;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Version tapuscrite de la monographie portant sur l'archéologie d'une île à la pointe de l'Europe : Ouessant. Les vestiges d'habitat de Mez Notariou des origines à l'âge du bronze;http://www.viaf.org/viaf/36929479 Le Bihan, Jean-Paul;;;;;RAP02120;;French;;Disponible;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Planguenoual (22). La cour de Treutan 1. rapport de sondage.;HAMON Gwenaëlle;RAP01691;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01691;Service régional de l'archéologie de Bretagne;French;;;2000;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plounéour-Ménez (29). Pont-Glas. Les occupations humaines en abri sous roche en Bretagne. rapport de fp 1 2007;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;;;French;;Disponible;2007;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Le Conquet (29). Île de Triélen. archipel de Molène. rapport de sondage;http://www.viaf.org/viaf/14788952 Daire, Marie-Yvane;;UMR 6566 - Centre de Recherche en Archéologie, Archéosciences, Histoire;;;RAP02273;;French;;Disponible;2007;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Liffré (35). voie ancienne en forêt de Rennes. rapport de sondage archéologique;ROMANO Pascal;RAP02219;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02219;Service régional de l'archéologie de Bretagne;French;;;2006;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). La sépulture mégalithique de Drégan. rapport de sondages 2007;Le Goffic, Michel;RAP02277;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02277;Service régional de l'archéologie de Bretagne;French;;;2007;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Fouesnant (29). L'île aux Moutons. rapport de fp intermédiaire 2005 de fp 3 2005-2008;Hamon, Gwenaëlle;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP02179;;French;;Disponible;2005;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Taden (22). L'asile des pêcheurs. rapport de sondage;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00520;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00520;Service régional de l'archéologie de Bretagne;French;;;1979;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). La nécropole mégalithique de la pointe du Souc'h. rapport final de synthèse de fp 2004-2006;Le Goffic, Michel;RAP02196;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02196;Service régional de l'archéologie de Bretagne;French;;;2006;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La Rosais. rapport de sondage;Bizien-Jaglin, Catherine;RAP00524;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00524;Service régional de l'archéologie de Bretagne;French;;;1992;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Bénodet (29). Poulquer. rapport de fouille préventive;Le Goffic, Michel;RAP00618;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00618;Service régional de l'archéologie de Bretagne;French;;;1988;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Ploudalmézeau (29). Portsall barr Ar Lann - Guiliguy. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;;;;RAP00541;;French;;Disponible;1992;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Carhaix (29). La Magdeleine. rapport de sauvetage urgent;Le Goffic, Michel;RAP00639;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00639;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix (29). 2; rue des Augustins. rapport de sauvetage urgent;Le Goffic, Michel;RAP00640;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00640;Service régional de l'archéologie de Bretagne;French;;;1989;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Kerlaz (29). Plage de Ris. Le ry izella. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP00653;;French;;Disponible;1988;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
L'habitat aristocratique fortifié des XIe et XIIe siècles dans le comté de Rennes. rapport de prospection thématique;http://www.viaf.org/viaf/71517267 Brand'honneur, Michel;;Service régional de l'archéologie de Bretagne;;;;;French;;Disponible;1991;1 vol. (608 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). un quartier de la ville antique de vorgium. Les fouilles de la réserve archéologique. rapport de fp 1 2006;Le Cloirec, Gaétan;RAP02205;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02205;Service régional de l'archéologie de Bretagne;French;;;2006;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Commana (29). penn ar quimquis. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00642;Conseil Départemental du Finistère. Service départemental de l’Archéologie;Online PDF file;;RAP00642;Service régional de l'archéologie de Bretagne;French;;;1987;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Brennilis (29). Sépulture mégalithique de Ti Ar Boudiged. rapport de fouille préventive;Le Goffic, Michel;RAP00633;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00633;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
La Feuillée (29). Trédudon. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP00660;;French;;Disponible;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Le Folgoët (29). Guiquelleau. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP00663;;French;;Disponible;1988;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouguerneau (29). rapport de fouille de sauvetage;Le Goffic, Michel;RAP00700;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00700;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). pors poullan. allée couverte. rapport de fouille programmée;Le Goffic, Michel;RAP00705;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00705;Service régional de l'archéologie de Bretagne;French;;;1987;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Maxent (35). église paroissiale. rapport de fouille programmée;http://www.viaf.org/viaf/66597777 Guigon, Philippe;;Service régional de l'archéologie de Bretagne;;;RAP00583;;French;;Disponible;1992;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Planguenoual (22). Le Frêche Clos. un atelier de potiers carolingien. rapport final de synthèse de fouille programmée 1990-1992;Bizien-Jaglin, Catherine;RAP00658;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00658;Service régional de l'archéologie de Bretagne;French;;;1992;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). pors poullan. allée couverte. rapport de fouille programmée;Le Goffic, Michel;RAP00704;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00704;Service régional de l'archéologie de Bretagne;French;;;1986;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). Kersigneau - Saint-Jean. rapport de sondage;Le Goffic, Michel;RAP00701;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00701;Service régional de l'archéologie de Bretagne;French;;;1986;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Jacut-de-la-Mer (22). île des Ebihens. rapport de sauvetage urgent;http://www.viaf.org/viaf/9848923 Langouët, Loïc;RAP00739;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00739;Service régional de l'archéologie de Bretagne;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). Kervennec. rapport de fouille préventive;Le Goffic, Michel;RAP00707;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00707;Service régional de l'archéologie de Bretagne;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Quévert (22). Chemin de Létra. rapport de sondage;http://www.viaf.org/viaf/9848923 Langouët, Loïc;;Service régional de l'archéologie de Bretagne;;;;;French;;;1978;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Jacut-de-la-Mer (22). île des Ebihens. rapport de fouille programmée;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00740;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00740;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Maxent (35). église paroissiale. rapport intermédiaire de fouille programmée;http://www.viaf.org/viaf/66597777 Guigon, Philippe;;Service régional de l'archéologie de Bretagne;;;RAP00771;;French;;Disponible;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Jacut-de-la-Mer (22). Les haches. rapport de fouille préventive;Bizien-Jaglin, Catherine;RAP00738;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00738;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Vezin-le-Coquet (35). La Motte Beaucé. rapport de sondage;BRAND'HONNEUR Michel;RAP00811;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00811;Service régional de l'archéologie de Bretagne;French;;;1992;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Bais (35). bourg Saint-Pair. rapport de fouille préventive;http://www.viaf.org/viaf/66597777 Guigon, Philippe;RAP00774;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00774;Service régional de l'archéologie de Bretagne;French;;;1986;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Liffré (35). Dézerseul. rapport de sondage;BRAND'HONNEUR Michel;RAP00776;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00776;Service régional de l'archéologie de Bretagne;French;;;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouguerneau (29). ran ar groas. rapport de fouille préventive;Le Goffic, Michel;RAP00911;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00911;Service régional de l'archéologie de Bretagne;French;;;1993;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plonévez-du-Faou (29). Kerdiane. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00876;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00876;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Liffré (35). La Motte de Dézerseul. rapport de fouille programmée;http://www.viaf.org/viaf/71517267 Brand'honneur, Michel;;;;;RAP00806;;French;;Disponible;1992;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plonéis (29). Le Paradis. rapport de sondage.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00092;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00092;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Commana (29). Stamoisac'h. rapport de sondage;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00961;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00961;Service régional de l'archéologie de Bretagne;French;;;1981;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Crozon (29). Le menhir de la républicaine. rapport de sondage;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;;;French;;Disponible;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Pluguffan (29). Kereuret. rapport de sondage.;Le Goffic, Michel;RAP00094;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00094;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Quimper (29). ty-nevez. rapport de sondage.;Le Goffic, Michel;RAP00096;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00096;Service régional de l'archéologie de Bretagne;French;;;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Lanmeur (29). L'église. rapport de sauvetage programmé;http://www.viaf.org/viaf/66597777 Guigon, Philippe;;Service régional de l'archéologie de Bretagne;;;;;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Peumerit (29). Park Moan. Lespurit- Ellen. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00082;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00082;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
La Roche-Maurice (29). Le château. rapport de sondage;Le Goffic, Michel;RAP00832;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00832;Service régional de l'archéologie de Bretagne;French;;;1993;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Lopérec (29). Saint-Guénolé. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP00073;;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Planguenoual (22). Le Frêche Clos. rapport intermédiaire 1991 de fp 3 1990-1992;Bizien-Jaglin, Catherine;RAP00066;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00066;Service régional de l'archéologie de Bretagne;French;;;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Tréglonou (29). Kerellen. toul al lann. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00123;Service régional de l'archéologie de Bretagne | Conseil Départemental du Finistère. Service départemental de l’Archéologie;Online PDF file;;RAP00123;Service régional de l'archéologie de Bretagne;French;;;1985;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Pont-l'Abbé (29). Rosvein. rapport de sauvetage urgent.;Le Goffic, Michel;RAP00106;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00106;Service régional de l'archéologie de Bretagne;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Jacut-de-la-Mer (22). Les haches. Îlot des Immerzies. rapport de sondage.;Bizien-Jaglin, Catherine;RAP00133;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00133;Service régional de l'archéologie de Bretagne;French;;;1991;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Sizun (29). Labou-Kermarker. rapport de fouille préventive;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00119;Conseil Départemental du Finistère. Service départemental de l’Archéologie;Online PDF file;;RAP00119;Service régional de l'archéologie de Bretagne;French;;;1989;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Jean-Trolimon (29). Castellou. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00115;Conseil Départemental du Finistère. Service départemental de l’Archéologie;Online PDF file;;;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Vougay (29). Graeoc. rapport de sauvetage urgent.;Le Goffic, Michel;RAP00116;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00116;Service régional de l'archéologie de Bretagne;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Spézet (29). Rubiou. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;RAP00120;Conseil Départemental du Finistère. Service départemental de l’Archéologie;Online PDF file;;RAP00120;Service régional de l'archéologie de Bretagne;French;;;1988;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix (29). Carte archéologique communale. rapport de prospection inventaire;LEGEARD HERVE Catherine;RAP01251;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP01251;Service régional de l'archéologie de Bretagne;French;;;1994;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Sarzeau (56). Château de Suscinio; logis nord. Rapport de diagnostic;http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine;RAP02779;Conseil départemental du Morbihan;Online PDF file;;RAP02779;Service régional de l'archéologie de Bretagne;French;;;2012;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Arzon (56). Bilgroix. tertre. rapport de sauvetage urgent.;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Service régional de l'archéologie de Bretagne;;;RAP00143;;French;;Disponible;1976;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). anse Solidor. rapport de fouille programmée;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00399;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00399;Service régional de l'archéologie de Bretagne;French;;;1972;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La cité d'Alet; rapport de fouille programmée;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00394;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00394;Service régional de l'archéologie de Bretagne;French;;;1975;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Kerbors (22). Enez Yar. rapport de sauvetage urgent;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00437;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00437;Service régional de l'archéologie de Bretagne;French;;;1979;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). chantier de fouilles archéologiques d'Alet à 50 m au nord de l'ancienne cathédrale. rapport de sauvetage urgent.;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00400;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00400;Service régional de l'archéologie de Bretagne;French;;;1972;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La cité d'Alet; rapport de fouille programmée;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00393;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00393;Service régional de l'archéologie de Bretagne;French;;;1976;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). Le puits des sept perthuis. rapport de sauvetage programmé;Bizien-Jaglin, Catherine;RAP00403;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00403;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La cité d'Alet; rapport de sondage;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00398;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00398;Service régional de l'archéologie de Bretagne;French;;;1973;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Hirel (35). L'aupinière-le paradis. atelier de briquetage. rapport de fouille programmée annuelle.;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00343;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00343;Service régional de l'archéologie de Bretagne;French;;;1974;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La cité d'Alet; rapport de fouille programmée;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00392;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00392;Service régional de l'archéologie de Bretagne;French;;;1978;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Gévezé (35). La Motte Marcillé. rapport de sondage.;http://www.viaf.org/viaf/71517267 Brand'honneur, Michel;RAP00339;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00339;Service régional de l'archéologie de Bretagne;French;;;1984;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Berné (56). Saint-Albaud. rapport de sauvetage urgent.;Le Goffic, Michel;RAP00300;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00300;Service régional de l'archéologie de Bretagne;French;;;1975;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). La cité d'Alet; rapport de sauvetage urgent;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00396;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00396;Service régional de l'archéologie de Bretagne;French;;;1974;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Saint-Malo (35). rue de la Crosse. rapport de sondage;Bizien-Jaglin, Catherine;RAP00459;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00459;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Trans (35). Ville berger. Les Mardrelles. rapport de sauvetage urgent;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00411;Service régional de l'archéologie de Bretagne;Online PDF file;;;Service régional de l'archéologie de Bretagne;French;;;1975;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
La Boussac (35). Le petit pavillon; chemin de l'Eguillère. rapport de sondage.;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00314;Service régional de l'archéologie de Bretagne;Online PDF file;;;Service régional de l'archéologie de Bretagne;French;;;1977;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Trans (35). Le camp des Haies. rapport de sauvetage urgent;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00412;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00412;Service régional de l'archéologie de Bretagne;French;;;1977;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Planguenoual (22). Le Frêche Clos. rapport intermédiaire 1990 de fouille programmée 1990-1992;Bizien-Jaglin, Catherine;RAP00471;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00471;Service régional de l'archéologie de Bretagne;French;;;1990;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Pabu (29). Poulledan. rapport de sauvetage urgent;http://www.viaf.org/viaf/234305827 Le Goffic, Michel;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;RAP00462;;French;;;1988;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Roz_Landrieux (35). Les Burons. rapport de sauvetage urgent.;http://viaf.org/viaf/9848923 Langouët, Loïc;RAP00378;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00378;Service régional de l'archéologie de Bretagne;French;;;1979;1 vol. ( p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
